Strain,For_profit_price,Non_Profit_price,Genome_Sequence_Availability,Deposited As,Strain_Designation,BSL,Product Format,Culture Medium,Growth_condition,Storage_conditions,Antibiotic Resistance,Comments,Application,Product Sheet,,,,
Thermodesulfovibrio yellowstonii Henry et al. (ATCC 51303),"For-Profit:
$402.00",,NA,NA,YP87 [DSM 11347],1,freeze-dried,ATCC  1895: YP87 medium,Temperature: 60Celsius Atmosphere: Anaerobic,2Celsius  to 8Celsius,NA,NA,Biotechnology,https://www.atcc.org/~/ps/51303.ashx,,,,
Anaerococcus lactolyticus (Li et al.) Ezaki et al. (ATCC 51172),$550.00 ,$467.50 ,NA,Peptostreptococcus lactolyticus Li et al.,"JCM 8140 [CIP 103725, DSM 7456, GIFU 8586]",1,freeze-dried,ATCC  1490: Modified chopped meat medium,Temperature: 37.0Celsius Atmosphere: Anaerobic,NA,NA,NA,NA,https://www.atcc.org/~/ps/51172.ashx,,,,
Thermanaerovibrio acidaminovorans  (Guangsheng et al.) Baena et al. (ATCC 49978),$550.00 ,$467.50 ,seqeunce available,Selenomonas acidaminovorans Guangsheng et al.,Su883 [DSM 6589],1,freeze-dried,ATCC  1834: Wilkins-Chalgren anaerobe medium (Oxoid CM643) with 2% yeast extract,"Temperature: 55Celsius 
Atmosphere: Anaerobic",2Celsius  to 8Celsius,NA,NA,Biotechnology,https://www.atcc.org/~/ps/49978.ashx,,,,
Rhizobium sp. (ATCC 49644),$550.00 ,$467.50 ,NA,Agrobacterium radiobacter (Beijerinck and van Delden) Conn,K84,1,freeze-dried,ATCC  3: Nutrient agar or nutrient broth,"Temperature: 26Celsius 
Atmosphere: Aerobic",NA,NA,NA,NA,https://www.atcc.org/~/ps/49644.ashx,,,,
Halorubrum lacusprofundi (Franzmann et al.) McGenity and Grant (ATCC 49239),$550.00 ,$467.50 ,NA,Halobacterium lacusprofundi Franzmann et al.,"ACAM34 [ACM 3107, DSM 5036, JCM 8891, UQM 3107]",1,freeze-dried,ATCC  1682: Artificial deep lake medium,Temperature: 30.0Celsius,NA,NA,NA,Biotechnology,https://www.atcc.org/~/ps/49239.ashx,,,,
Thermotoga neapolitana Jannasch et al. (ATCC 49049),$550.00 ,$467.50 ,NA,NA,NS-E [DSM 4359],1,freeze-dried,ATCC  2507: Thermotoga,"Temperature: 77Celsius 
Atmosphere: 100% N2",-80Celsius  or colder,NA,NA,Characterization,https://www.atcc.org/~/ps/49049.ashx,,,,
Brachybacterium faecium Collins et al. (ATCC 43885),$550.00 ,$467.50 ,seqeunce available,NA,NCIB 9860 [6-10],1,freeze-dried,ATCC  3: Nutrient agar or nutrient broth,Temperature: 26.0Celsius,NA,NA,NA,NA,https://www.atcc.org/~/ps/43885.ashx,,,,
Helicobacter bilis Fox et al. (ATCC 43879),$550.00 ,$467.50 ,NA,Flexispira rappini Bryner et al.,SLH-38264,2,freeze-dried,"ATCC  18: Trypticase Soy Agar/Broth
ATCC  260: Trypticase soy agar/broth with defibrinated sheep blood","Temperature: 37Celsius 
Atmosphere: Microaerophilic (3-5% O2, 10% CO2)",NA,NA,NA,NA,https://www.atcc.org/~/ps/43879.ashx,,,,
Rhodothermus marinus Alfredsson et al. (ATCC 43812),$550.00 ,$467.50 ,seqeunce available,NA,R-10 [DSM 4252],1,freeze-dried,ATCC  1599: Thermus enhanced medium (ATCC medium 1598) with 1% NaCl,Temperature: 70.0Celsius,NA,NA,NA,Biotechnology,https://www.atcc.org/~/ps/43812.ashx,,,,
Pyrococcus furiosus Fiala and Stetter (ATCC 43587),$550.00 ,$467.50 ,NA,NA,DSM 3638 [Vc1],1,freeze-dried,ATCC  1915: Pyrococcus medium (DSM medium 377),Temperature: 100.0Celsius Atmosphere: Anaerobic; 100% N2,NA,NA,NA,Produces intracellular protease PfpIBiotechnology,https://www.atcc.org/~/ps/43587.ashx,,,,
Methanocorpusculum labreanum Zhao et al. (ATCC 43576),$550.00 ,$467.50 ,NA,Methanogenium sp.,"OCM 1 [DSM 4855, Z]",1,frozen,ATCC  2487: MS-OCM Base  with 43 mM NaCl and 5 mM sodium acetate,"Temperature: 37Celsius 
Atmosphere: 80% H2-20% CO2",-80Celsius  or colder,NA,NA,NA,https://www.atcc.org/~/ps/43576.ashx,,,,
Planctomyces limnophilus Hirsch and Muller (ATCC 43296),$550.00 ,$467.50 ,NA,NA,IFAM 1008 [290],1,freeze-dried,ATCC  1521: PYGV medium,Temperature: 30.0Celsius,NA,NA,NA,NA,https://www.atcc.org/~/ps/43296.ashx,,,,
Haloarcula marismortui (ex Volcani) Oren et al. (ATCC 43049),$550.00 ,$467.50 ,NA,NA,"[DSM 3752, JCM 8966, VKM B-1809]",1,freeze-dried,ATCC  1218: Halobacterium starch medium,Temperature: 37.0Celsius,NA,NA,NA,Biotechnology,https://www.atcc.org/~/ps/43049.ashx,,,,
Dictyoglomus thermophilum Saiki et al. (ATCC 35947),$550.00 ,$467.50 ,NA,NA,H-6-12,1,freeze-dried,ATCC  1464: Dictyoglomus medium,Temperature: 70.0Celsius Atmosphere: Anaerobic,NA,NA,NA,Biotechnology,https://www.atcc.org/~/ps/35947.ashx,,,,
Natronomonas pharaonis (Soliman and Trueper) Kamekura et al. (ATCC 35678),$550.00 ,$467.50 ,NA,Halobacterium pharaonis Soliman and Trueper,"DSM 2160 [ATCC 43656, Gabara]",1,freeze-dried,ATCC  1394: Halobacterium pharaonis medium,"Temperature: 37Celsius 
Atmosphere: Aerobic",NA,NA,NA,Biotechnology,https://www.atcc.org/~/ps/35678.ashx,,,,
Halobacillus halophilus (Claus et al.) Spring et al. (ATCC 35676),$550.00 ,$467.50 ,seqeunce available,Sporosarcina halophila Claus et al.,"DSM 2266 [3, LMG 17431]",1,freeze-dried,ATCC  2: Marine agar 2216  or marine broth 2216,"Temperature: 30Celsius 
Atmosphere: Aerobic",Frozen: -80Celsius  or colderFreeze-Dried: 2Celsius  to 8Celsius Live Culture: See Propagation Section,NA,NA,Biotechnology,https://www.atcc.org/~/ps/35676.ashx,,,,
Chloroherpeton thalassium Gibson et al. (ATCC 35110),$550.00 ,$467.50 ,NA,NA,GB-78,1,frozen,NA,NA,NA,NA,NA,NA,https://www.atcc.org/~/ps/35110.ashx,,,,
Methanoculleus marisnigri (Romesser et al.) Maestrojuan et al. (ATCC 35101),$550.00 ,$467.50 ,NA,Methanogenium marisnigri Romesser et al.,DSM 1498 [JR1],1,frozen,ATCC  1343: General salts medium for estuarine methanogens,Temperature: 37.0Celsius Atmosphere: Anaerobic; 80% H2-20% CO2,NA,NA,NA,Biotechnology,https://www.atcc.org/~/ps/35101.ashx,,,,
Spirosoma linguale Migula (ATCC 33905),$550.00 ,$467.50 ,seqeunce available,NA,DSM 74 [1],1,freeze-dried,ATCC  1290: Microcyclus - Spirosoma medium,Temperature: 26Celsius Atmosphere: Aerobic,Frozen: -80Celsius  or colderFreeze-Dried: 2Celsius  to 8Celsius Live Culture: See Propagation Section,NA,NA,NA,https://www.atcc.org/~/ps/33905.ashx,,,,
Sulfurimonas denitrificans (ATCC 33889),$550.00 ,$467.50 ,seqeunce available,Thiomicrospira denitrificans Timmer-ten Hoor,DSM 1251,1,freeze-dried,ATCC  1255: Thiomicrospira denitrificans medium,Temperature: 26.0Celsius,NA,NA,NA,Biotechnology,https://www.atcc.org/~/ps/33889.ashx,,,,
Sulfolobus acidocaldarius Brock et al. (ATCC 33909),$550.00 ,$467.50 ,NA,NA,"DSM 639 [98-3, ATCC 27360, IFO 15157, JCM 8929]",1,freeze-dried,ATCC  1723: Revised Sulfolobus medium,Temperature: 70.0Celsius,NA,NA,NA,"Produces citrate synthaseProduces endodeoxyribonuclease HaeIII SuaI restriction endonuclease, restriction endonuclease SuaI",https://www.atcc.org/~/ps/33909.ashx,,,,
Cytophaga hutchinsonii Winogradsky (ATCC 33406),$550.00 ,$467.50 ,seqeunce available,NA,NCIB 9469,1,freeze-dried,ATCC  1160: Dubos agar with filter paper,Temperature: 26Celsius Atmosphere: Aerobic,Frozen: -80Celsius  or colderFreeze-Dried: 2Celsius  to 8Celsius Live Culture: See Propagation Section,NA,NA,NA,https://www.atcc.org/~/ps/33406.ashx,,,,
Thermoanaerobacter pseudethanolicus (ATCC 33223),$550.00 ,$467.50 ,seqeunce available,Clostridium thermohydrosulfuricum Klaushofer and Parkkinen,39E,1,freeze-dried,ATCC  1118: Methanobacteria medium (ATCC medium 1045) with 0.2% yeast extract and 0.5% glucose,Temperature: 65.0Celsius Atmosphere: Anaerobic,NA,NA,NA,Degrades starchProduces ethyl alcohol ethanolProduces glucoamylaseProduces pullulanase pullulan 6-glucanohydrolaseProduces thermostable pullulanase and glucoamylaseProduces ethanol from starch,https://www.atcc.org/~/ps/33223.ashx,,,,
Mycobacterium microti Reed (ATCC 19422),"$1,238.00 ","$1,052.30 ",NA,Mycobacterium tuberculosis (Zopf) Lehmann and Neumann,"NCTC 8710 [DSM 44155, LV 285/303, TMC 1619]",3,frozen,"ATCC  1395: Middlebrook 7H9 broth with ADC enrichment
ATCC  173: Middlebrook 7H10 agar with Middlebrook OADC enrichment","Temperature: 37Celsius 
Atmosphere: Aerobic",Frozen: -80Celsius  or colderFreeze-Dried: 2Celsius  to 8Celsius Live Culture: See Propagation Section,NA,NA,NA,https://www.atcc.org/en/My_Profile.aspx?sc_device=modal&streamfile=/~/ps/19422.ashx&reloadafterclose=true,,,,
Actinosynnema mirum Hasegawa et al. (ATCC 29888),$550.00 ,$467.50 ,NA,NA,IMRU 3971 [101],1,freeze-dried,ATCC  174: Bennett's medium,"Temperature: 26Celsius 
Atmosphere: Aerobic",Frozen: -80Celsius  or colderFreeze-Dried: 2Celsius  to 8Celsius Live Culture: See Propagation Section,NA,NA,NA,https://www.atcc.org/~/ps/29888.ashx,,,,
Chloroflexus aurantiacus Pierson and Castenholz (ATCC 29364),$550.00 ,$467.50 ,NA,NA,Y-400-fl,1,freeze-dried,ATCC  920: Chloroflexus medium,Temperature: 50.0Celsius Atmosphere: Under 100 foot candles tungsten,NA,NA,NA,Biotechnology,https://www.atcc.org/~/ps/29364.ashx,,,,
Slackia heliotrinireducens (Lanigan) Wade et al. (ATCC 29202),$550.00 ,$467.50 ,NA,Peptococcus heliotrinreducens Lanigan,RHS 1 [NCTC 11029],1,freeze-dried,ATCC  2008: TYM medium,Temperature: 37.0Celsius Atmosphere: Anaerobic,NA,NA,NA,Degrades pyrrolizidine alkaloidsDetoxification of pyrrolizidines,https://www.atcc.org/~/ps/29202.ashx,,,,
Eubacterium dolichum Moore et al. (ATCC 29143),$550.00 ,$467.50 ,NA,NA,VPI C9-20 [DSM 3991],1,freeze-dried,ATCC  593: Chopped meat medium,Temperature: 37.0Celsius Atmosphere: Anaerobic,NA,NA,NA,NA,https://www.atcc.org/~/ps/29143.ashx,,,,
Methanospirillum hungatei corrig. Ferry et al. 1974 (ATCC 27890),$550.00 ,$467.50 ,NA,Methanospirillum hungatii Ferry et al.,JF-1 [DSM 864],1,frozen,ATCC  2487: MS-OCM Base  with 43 mM NaCl and 5 mM sodium acetate,"Temperature: 37Celsius 
Atmosphere: Anaerobic gas mixture, 80% H2- 20% CO2;??100% nitrogen if formate is used as the substrate",Frozen: -80Celsius  or colderFreeze-Dried: 2Celsius  to 8Celsius Live Culture: See Propagation Section,NA,NA,Biotechnology,https://www.atcc.org/~/ps/27890.ashx,,,,
Gordonia bronchialis (Tsukamura) Stackebrandt et al. (ATCC 25592),$550.00 ,$467.50 ,seqeunce available,NA,3410 (Ohba) [NCTC 10667],2,freeze-dried,ATCC  44: Brain Heart Infusion Agar/Broth,Temperature: 37Celsius Atmosphere: Aerobic,Frozen: -80Celsius  or colderFreeze-Dried: 2Celsius  to 8Celsius Live Culture: See Propagation Section,NA,NA,NA,https://www.atcc.org/~/ps/25592.ashx,,,,
Thermomonospora curvata Henssen (ATCC 19995),$550.00 ,$467.50 ,NA,NA,"DSM 43183 [B9, CBS 141.67]",1,freeze-dried,ATCC  1489: Hickey-Tresner agar,Temperature: 50.0Celsius,NA,NA,NA,Biotechnology,https://www.atcc.org/~/ps/19995.ashx,,,,
Schaalia odontolytica (Nouioui et al.) (ATCC 17982),$550.00 ,$467.50 ,seqeunce available,Actinomyces odontolyticus Batty,"NCTC 9931 [1A.21, DSM 43331]",2,freeze-dried,"ATCC  7: Actinomyces broth
ATCC  260: Trypticase soy agar/broth with defibrinated sheep blood","Temperature: 37Celsius 
Atmosphere: Anaerobic",Frozen: -80Celsius  or colderFreeze-Dried: 2Celsius  to 8Celsius Live Culture: See Propagation Section,NA,NA,NA,https://www.atcc.org/~/ps/17982.ashx,,,,
Burkholderia multivorans Vandamme et al. (ATCC 17616),$550.00 ,$467.50 ,seqeunce available,Pseudomonas multivorans Stanier et al.,249 [S-4-An],2,freeze-dried,ATCC  3: Nutrient agar or nutrient broth,"Temperature: 26Celsius 
Atmosphere: Aerobic",2Celsius  to 8Celsius,NA,NA,Genomic analysisOpportunistic pathogen researchRespiratory research,https://www.atcc.org/~/ps/17616.ashx,,,,
Nocardiopsis dassonvillei subsp. dassonvillei (Brocq-Rousseu) Meyer (ATCC 23218),"For-Profit:
$402.00",,NA,Nocardia dassonvillei (Brocq-Rousseu) Liegard and Landrieu,IMRU 509 [NCTC 10488],2,freeze-dried,ATCC  196: Yeast malt extract agar,Temperature: 26.0Celsius,NA,NA,NA,NA,https://www.atcc.org/~/ps/23218.ashx,,,,
Desulfovibrio salexigens Postgate and Campbell (ATCC 14822),$550.00 ,$467.50 ,seqeunce available,Desulfovibrio desulfuricans (Beijerinck) Kluyver and van Niel,NCIB 8403 [British Guiana],1,freeze-dried,"ATCC  1250: Modified Barr's  for sulfate reducers with 2.5% NaCl
ATCC  1250: Modified Barr's  for sulfate reducers with 2.5% NaCl
ATCC  210: Modified Starkey's medium C (ATCC medium 207) with 2.5% NaCl",Temperature: 30.0Celsius Atmosphere: Anaerobic,NA,NA,NA,Biotechnology,https://www.atcc.org/~/ps/14822.ashx,,,,
Ureaplasma parvum Robertson et al. (ATCC 700970),$376.00 ,$319.60 ,NA,Ureaplasma urealyticum Shepard et al.,NA,2,frozen,ATCC  2616: Ureaplasma  - Special Modified Formulation,"Temperature: 37Celsius 
Atmosphere: Aerobic",Frozen: -80Celsius  or colderFreeze-Dried: 2Celsius  to 8Celsius Live Culture: See Propagation Section,NA,NA,NA,https://www.atcc.org/~/ps/700970.ashx,,,,
Haloarcula mukohataei Ihara et al. (ATCC 700874D-5),$550.00 ,$550.00 ,NA,NA,Genomic DNA from Haloarcula mukohataei strain DSM 12286 [ATCC 700874],1,freeze-dried Total DNA: At least 5 ug in 1X TE buffer,NA,NA,NA,NA,NA,NA,https://www.atcc.org/~/ps/700874D-5.ashx,,,,
Pyrococcus horikoshii Gonzalez et al. (ATCC 700860D-5),$550.00 ,$550.00 ,NA,NA,Genomic DNA from Pyrococcus horikoshii Strain JCM 9974 [ATCC 700860],1,dried At least 5 ug in 1X TE bufferOD260/OD280: 1.6 to 2.0,NA,NA,NA,NA,NA,NA,https://www.atcc.org/~/ps/700860D-5.ashx,,,,
Quantitative Genomic DNA from Campylobacter jejuni subsp. jejuni (ATCC 700819DQ),$578.00 ,$578.00 ,seqeunce available,NA,NA,1,frozen Specification range: ???1 x 105 copies/uL100 uL per vial,NA,NA,-20Celsius  or colder,NA,NA,"ATCC??Genuine Nucleics can be used for assay development, verification, validation, monitoring of day-to-day test variation, and lot-to-lot performance of molecular-based assays. The quantitative format allows for the generation of a standard curve for quantitative PCR (qPCR) to determine bacterial load.",https://www.atcc.org/~/ps/700819DQ.ashx,,,,
Ruegeria pomeroyi (Gonzalez et al.) Yi et al. (ATCC 700808D-5),$550.00 ,$550.00 ,seqeunce available,NA,Genomic DNA from Ruegeria pomeroyi strain DSS-3 [ATCC 700808],1,dried Total DNA: At least 5 ug in 1X TE bufferOD260/OD280:  1.6 to 2.0,NA,NA,NA,NA,NA,NA,https://www.atcc.org/~/ps/700808D-5.ashx,,,,
Quantitative Genomic DNA from Klebsiella pneumoniae subsp. pneumoniae (ATCC 700721DQ),$541.00 ,$541.00 ,seqeunce available,NA,NA,1,frozen Specification range: ???1 x 105 copies/uL100 uL per vial,NA,NA,-20Celsius  or colder,NA,NA,"ATCC Genuine Nucleics can be used for assay development, verification, validation, monitoring of day-to-day test variation, and lot-to-lot performance of molecular-based assays. The quantitative format allows for the generation of a standard curve for quantitative PCR (qPCR) to determine bacterial load.",https://www.atcc.org/~/ps/700721DQ.ashx,,,,
Pseudarthrobacter chlorophenolicus Busse (ATCC 700700D-5),$550.00 ,$550.00 ,seqeunce available,NA,Genomic DNA from Pseudoarthrobacter chlorophenolicus strain A6 [ATCC 700700; DSM12829],1,freeze-dried Total DNA: At least 5 ug in 1X TE buffer,NA,NA,NA,NA,NA,NA,https://www.atcc.org/~/ps/700700D-5.ashx,,,,
Cryptobacterium curtum Nakazawa et al. (ATCC 700683D-5),$550.00 ,$550.00 ,NA,NA,Genomic DNA from Cryptobacterium curtum strain 12-3 [ATCC 700683],1,freeze-dried Total DNA: At least 5 ug in 1X TE buffer,NA,NA,NA,NA,NA,NA,https://www.atcc.org/~/ps/700683D-5.ashx,,,,
Bacillus selenitireducens Switzer Blum et al. (ATCC 700615D-5),$550.00 ,$550.00 ,seqeunce available,NA,Genomic DNA from Bacillus selenitireducens strain MLS10 [ATCC 700615],1,freeze-dried Total DNA: At least 5 ug in 1X TE buffer,NA,NA,NA,NA,NA,NA,https://www.atcc.org/~/ps/700615D-5.ashx,,,,
Comamonas testosteroni (Talalay) Tamaoka et al. emend. Willems et al. (ATCC 700441D-5),$550.00 ,$550.00 ,seqeunce available,NA,Genomic DNA from Comamonas testosteroni strain JS42 [ATCC 700441],1,freeze-dried Total DNA: At least 5 ug in 1X TE buffer,NA,NA,NA,NA,NA,NA,https://www.atcc.org/~/ps/700441D-5.ashx,,,,
Lachnoclostridium phytofermentans Yutin et al. (ATCC 700394D-5),$550.00 ,$550.00 ,seqeunce available,Clostridium phytofermentans Warnick et al.,Genomic DNA from Lachnoclostridium phytofermentans strain ISDg [ATCC 700394],1,dried Total DNA: At least 5 ug in 1X TE buffer.OD260/OD280: 1.6 to 2.1,NA,NA,NA,NA,NA,NA,https://www.atcc.org/~/ps/700394D-5.ashx,,,,
Shewanella pealeana Leonardo et al. (ATCC 700345D-5),$550.00 ,$550.00 ,seqeunce available,NA,Genomic DNA from Shewanella pealeana strain ANG-SQ1 [ATCC 700345],1,freeze-dried Total DNA: At least 5 ug in 1X TE buffer,NA,NA,NA,NA,NA,NA,https://www.atcc.org/~/ps/700345D-5.ashx,,,,
Halogeometricum borinquense Montalvo-Rodriguez et al. (ATCC 700274D-5),$550.00 ,$550.00 ,NA,NA,Genomic DNA from Halogeometricum borinquense strain PR3 [ATCC 700274],1,freeze-dried Total DNA: At least 5 ug in 1X TE buffer,NA,NA,NA,NA,NA,NA,https://www.atcc.org/~/ps/700274D-5.ashx,,,,
Magnetospirillum magneticum (ATCC 700264D-5),$550.00 ,$550.00 ,seqeunce available,NA,Genomic DNA from Magnetospirillum magneticum strain AMB-1 [ATCC 700264],1,dried Total DNA: At least 5 ug in 1X TE buffer,NA,NA,NA,NA,NA,NA,https://www.atcc.org/~/ps/700264D-5.ashx,,,,
Quantitative Genomic DNA from Enterococcus faecium (ATCC 700221DQ),$578.00 ,$578.00 ,NA,NA,NA,1,frozen Specification Range: ???1 x 105 copies/uL100 uL per vial,NA,NA,-20Celsius  or colder,NA,NA,"ATCC Genuine Nucleics can be used for assay development, verification, validation, monitoring of day-to-day test variation, and lot-to-lot performance of molecular-based assays. The quantitative format allows for the generation of a standard curve for quantitative PCR (qPCR) to determine bacterial load.",https://www.atcc.org/~/ps/700221DQ.ashx,,,,
Nakamurella multipartita (Yoshimi et al. 1996) Tao et al. 2004 (ATCC 700099D-5),$550.00 ,$550.00 ,seqeunce available,Microsphaera multipartita,Genomic DNA from Nakamurella multipartita strain Y-104 [ATCC 700099],1,freeze-dried Total DNA: At least 5 ug in 1X TE buffer,NA,NA,NA,NA,NA,NA,https://www.atcc.org/~/ps/700099D-5.ashx,,,,
"NGS-Ready DNA from Cutibacterium acnes, strain NCTC 737 (ATCC 6919DX)",$706.00 ,$706.00 ,seqeunce available,NA,NA,1,"frozen ??? 10 ug of DNA in 10 mM Tris-HCl buffer, pH 8.5Fragment size ??? 20 kb",NA,NA,-20Celsius  or colder,NA,NA,"ATCC NGS-Ready DNA is carefully extracted to produce concentrated, purified, long fragment, high-molecular-weight DNA required for Next Generation Sequencing platforms. ATCC NGS-Ready DNA has been functionally verified and the resultant sequence passes stringent qualifications reported on the Certificate of Analysis for each lot. Sequence produced from this product is available through the ATCC Genome Portal (genomes.atcc.org).",https://www.atcc.org/~/ps/6919DX.ashx,,,,
"NGS-Ready DNA from Staphylococcus aureus subsp. aureus, strain FDA 209 (ATCC 6538DX)",$706.00 ,$706.00 ,seqeunce available,NA,NA,1,"frozen ??? 10 ug of DNA in 10 mM Tris-HCl buffer, pH 8.5Fragment size ??? 20 kb",NA,NA,-20Celsius  or colder,NA,NA,"ATCC NGS-Ready DNA is carefully extracted to produce concentrated, purified, long fragment, high-molecular-weight DNA required for Next Generation Sequencing platforms. ATCC NGS-Ready DNA has been functionally verified and the resultant sequence passes stringent qualifications reported on the Certificate of Analysis for each lot. Sequence produced from this product is available through the ATCC Genome Portal (genomes.atcc.org).",https://www.atcc.org/~/ps/6538DX.ashx,,,,
"NGS-Ready DNA from Streptococcus pneumoniae, strain CIP 104225 (ATCC 6303DX)",$706.00 ,$706.00 ,seqeunce available,NA,NA,1,"frozen ??? 10 ug of DNA in 10 mM Tris-HCl buffer, pH 8.5Fragment size ??? 20 kb",NA,NA,-20Celsius  or colder,NA,NA,"ATCC NGS-Ready DNA is carefully extracted to produce concentrated, purified, long fragment, high-molecular-weight DNA required for Next Generation Sequencing platforms. ATCC NGS-Ready DNA has been functionally verified and the resultant sequence passes stringent qualifications reported on the Certificate of Analysis for each lot. Sequence produced from this product is available through the ATCC Genome Portal (genomes.atcc.org).",https://www.atcc.org/~/ps/6303DX.ashx,,,,
Geobacter metallireducens Lovley et al. (ATCC 53774D-5),$550.00 ,$550.00 ,seqeunce available,NA,Genomic DNA from Geobacter metallireducens strain GS-15 [ATCC 53774],1,dried Total DNA: At least 5 ug in 1X TE buffer,NA,NA,NA,NA,NA,NA,https://www.atcc.org/~/ps/53774D-5.ashx,,,,
Gluconobacter oxydans (Henneberg) De Ley (ATCC 621HD-5),$550.00 ,$550.00 ,seqeunce available,NA,Genomic DNA from Gluconobacter oxydans [ATCC 621H],1,dried Total DNA: At least 5 ug in 1X TE buffer,NA,NA,NA,NA,NA,NA,https://www.atcc.org/~/ps/621HD-5.ashx,,,,
Actinobacillus succinogenes Guettler et al. (ATCC 55618D-5),$550.00 ,$550.00 ,seqeunce available,Unidentified bacterium,Genomic DNA from Actinobacillus succinogenesstrain 130Z [ATCC 55618],1,dried At least 5 ug in 1X TE buffer,NA,NA,NA,NA,NA,Produces succinic acid,https://www.atcc.org/~/ps/55618D-5.ashx,,,,
Thermoplasma volcanium Segerer et al. (ATCC 51530D-5),$550.00 ,$550.00 ,NA,NA,Genomic DNA from strain DSM 4299 [ATCC 51530],1,dried At least 5 ug in 1X TE buffer,NA,NA,NA,NA,NA,NA,https://www.atcc.org/~/ps/51530D-5.ashx,,,,
Methylobacillus flagellatus Govorukhina et al. (ATCC 51484D),$550.00 ,$550.00 ,seqeunce available,NA,Genomic DNA from Methylobacillus flagellatus strain KT [ATCC 51484],1,frozen Concentration:??200 ng/uLVolume:??50 uLTotal DNA: 10 ug,NA,NA,NA,NA,NA,NA,https://www.atcc.org/~/ps/51484D.ashx,,,,
Heliobacterium modesticaldum Kimble et al. (ATCC 51547D-5),$550.00 ,$550.00 ,seqeunce available,NA,Genomic DNA from Heliobacterium modesticaldum strain Ice1 [ATCC 51547],1,freeze-dried Total DNA: At least 5 ug in 1X TE buffer,NA,NA,NA,NA,NA,NA,https://www.atcc.org/~/ps/51547D-5.ashx,,,,
Methylobacillus flagellatus Govorukhina et al. (ATCC 51484D-5),$550.00 ,$550.00 ,seqeunce available,NA,Genomic DNA from Methylobacillus flagellatus strain KT [ATCC 51484],1,dried At least 5 ug in 1X TE buffer,NA,NA,-20Celsius  or colder,NA,NA,"ATCC Genuine Nucleics can be used for assay development, verification, validation, monitoring of day-to-day test variation, and lot-to-lot performance of molecular-based assays.",https://www.atcc.org/~/ps/51484D-5.ashx,,,,
Sulfurospirillum deleyianum Schumacher et al. (ATCC 51133D-5),$550.00 ,$550.00 ,seqeunce available,NA,Genomic DNA from strain Spirillum 5175 (ATCC 51133),1,freeze-dried At least 5 ug in 1X TE buffer,NA,NA,NA,NA,NA,NA,https://www.atcc.org/~/ps/51133D-5.ashx,,,,
Rhizobium etli Segovia et al. (ATCC 51251D-5),$550.00 ,$550.00 ,NA,NA,Genomic DNA from Rhizobium etli strain CFN42 [ATCC 51251],1,dried Total DNA: At least 5 ug in 1X TE buffer.OD260/OD280: 1.6 to 2.0,NA,NA,NA,NA,NA,NA,https://www.atcc.org/~/ps/51251D-5.ashx,,,,
Gluconacetobacter diazotrophicus (Gillis et al.) Yamada et al. (ATCC 49037D-5),$550.00 ,$550.00 ,seqeunce available,NA,Genomic DNA from Gluconacetobacter diazotrophicus strain PA1 5 [ATCC 49037],1,freeze-dried Total DNA: At least 5 ug in 1X TE buffer,NA,NA,NA,NA,NA,NA,https://www.atcc.org/~/ps/49037D-5.ashx,,,,
Thermanaerovibrio acidaminovorans  (Guangsheng et al.) Baena et al. (ATCC 49978D-5),$550.00 ,$550.00 ,seqeunce available,NA,Genomic DNA from strain Su883 (ATCC 49978),1,freeze-dried,NA,NA,NA,NA,NA,NA,https://www.atcc.org/~/ps/49978D-5.ashx,,,,
Atopobium rimae (Olsen et al.) Collins and Wallbanks (ATCC 49626D-5),$550.00 ,$550.00 ,seqeunce available,NA,Genomic DNA from Atopobium rimae strain VPI D140H-11A [ATCC 49626],1,"freeze-dried Total DNA: At least 5 ug in 1X TE buffer, driedOD260/OD280: 1.6 to 2.0",NA,NA,NA,NA,NA,NA,https://www.atcc.org/~/ps/49626D-5.ashx,,,,
Shewanella woodyi Makemson et al. (ATCC 51908D-5),$550.00 ,$550.00 ,seqeunce available,NA,Genomic DNA from Shewanella woodyi strain MS32 [ATCC 51908],1,freeze-dried Total DNA: At least 5 ug in 1X TE buffer,NA,NA,NA,NA,NA,NA,https://www.atcc.org/~/ps/51908D-5.ashx,,,,
Ochrobactrum anthropi Holmes et al. (ATCC 49188D-5),$550.00 ,$550.00 ,NA,NA,Genomic DNA from Ochrobactrum anthropi strain CL 350/82 [ATCC 49188],1,freeze-dried Total DNA: At least 5 ug in 1X TE buffer,NA,NA,NA,NA,NA,NA,https://www.atcc.org/~/ps/49188D-5.ashx,,,,
Cellulomonas flavigena (Kellerman and McBeth) Bergey et al. (ATCC 482D-5),$550.00 ,$550.00 ,seqeunce available,NA,Genomic DNA from Cellulomonas flavigena strain NRS 134 [ATCC 482],1,freeze-dried Total DNA: At least 5 ug in 1X TE buffer,NA,NA,NA,NA,NA,NA,https://www.atcc.org/~/ps/482D-5.ashx,,,,
Desulfobacterium autotrophicum Brysch et al. (ATCC 43914D-5),$550.00 ,$550.00 ,seqeunce available,NA,Genomic DNA from Desulfobacterium autotrophicum Strain DSM 3382 (HRM2) [ATCC 43914],1,dried Total DNA: At least 5 ug in 1X TE bufferOD260/OD280:  1.6 to 2.0,NA,NA,NA,NA,NA,NA,https://www.atcc.org/~/ps/43914D-5.ashx,,,,
